mandala,sukta,name,description
1,1,agnimILe purohitaM y...,This is the first sukta of the Rigveda
1,2,vAyavA yAhi darshate...,
1,3,ashvinA yajvarIriSho...,
1,4,surUpakR^itnumUtaye ...,
1,5,A tvetA ni,
1,6,yu~njanti bradhnamar...,
1,7,indramidgAthino bR^i...,
1,8,endra sAnasiM rayiM,
1,9,indrehi matsyandhaso...,
1,10,gAyanti tvA gAyatriN...,
1,11,indraM vishvA avIvR^...,
1,12,agniM dUtaM vR^iNIma...,
1,13,susamiddho na A,
1,14,aibhiragne duvo giro,
1,15,indra somaM piba,
1,16,A tvA vahantu,
1,17,indrAvaruNayorahaM s...,
1,18,somAnaM svaraNaM kR^...,
1,19,prati tyaM chArumadh...,
1,20,ayaM devAya janmane,
1,21,ihendrAgnI upa hvaye,
1,22,prAtaryujA vi bodhay...,
1,23,tIvrAH somAsa A,
1,24,kasya nUnaM katamasy...,
1,25,yachchiddhi te visho,
1,26,vasiShvA hi miyedhya,
1,27,ashvaM na tvA,
1,28,yatra grAvA pR^ithub...,
1,29,yachchiddhi satya so...,
1,30,A va indraM,
1,31,tvamagne prathamo a~...,
1,32,indrasya nu vIryANi,
1,33,etAyAmopa gavyanta i...,
1,34,trishchinno adyA bha...,
1,35,hvayAmyagniM pratham...,
1,36,pra vo yahvaM,
1,37,krILaM vaH shardho,
1,38,kaddha nUnaM kadhapr...,
1,39,pra yaditthA parAvat...,
1,40,uttiShTha brahmaNasp...,
1,41,yaM rakShanti prache...,
1,42,saM pUShannadhvanast...,
1,43,kadrudrAya prachetas...,
1,44,agne vivasvaduShasas...,
1,45,tvamagne vasU.Nriha ...,
1,46,eSho uShA apUrvyA,
1,47,ayaM vAM madhumattam...,
1,48,saha vAmena na,
1,49,uSho bhadrebhirA gah...,
1,50,udu tyaM jAtavedasaM,
1,51,abhi tyaM meShaM,
1,52,tyaM su meShaM,
1,53,nyU Shu vAchaM,
1,54,mA no asminmaghavanp...,
1,55,divashchidasya varim...,
1,56,eSha pra pUrvIrava,
1,57,pra maMhiShThAya bR^...,
1,58,nU chitsahojA amR^it...,
1,59,vayA idagne agnayast...,
1,60,vahniM yashasaM vida...,
1,61,asmA idu pra,
1,62,pra manmahe shavasAn...,
1,63,tvaM mahA.N indra,
1,64,vR^iShNe shardhAya s...,
1,65,pashvA na tAyuM,
1,66,rayirna chitrA sUro,
1,67,vaneShu jAyurmarteSh...,
1,68,shrINannupa sthAddiv...,
1,69,shukraH shushukvA.N ...,
1,70,vanema pUrvIraryo ma...,
1,71,upa pra jinvannushat...,
1,72,ni kAvyA vedhasaH,
1,73,rayirna yaH pitR^ivi...,
1,74,upaprayanto adhvaraM...,
1,75,juShasva saprathasta...,
1,76,kA ta upetirmanaso,
1,77,kathA dAshemAgnaye k...,
1,78,abhi tvA gotamA,
1,79,hiraNyakesho rajaso ...,
1,80,itthA hi soma,
1,81,indro madAya vAvR^id...,
1,82,upo Shu shR^iNuhI,
1,83,ashvAvati prathamo g...,
1,84,asAvi soma indra,
1,85,pra ye shumbhante,
1,86,maruto yasya hi,
1,87,pratvakShasaH pratav...,
1,88,A vidyunmadbhirmarut...,
1,89,A no bhadrAH,
1,90,R^ijunItI no varuNo,
1,91,tvaM soma pra,
1,92,etA u tyA,
1,93,agnIShomAvimaM su me,
1,94,imaM stomamarhate jA...,
1,95,dve virUpe charataH,
1,96,sa pratnathA sahasA,
1,97,apa naH shoshuchadag...,
1,98,vaishvAnarasya sumat...,
1,99,jAtavedase sunavAma ...,
1,100,sa yo vR^iShA,
1,101,pra mandine pitumada...,
1,102,imAM te dhiyaM,
1,103,tatta indriyaM param...,
