mandala,sukta,name,description
1,1,Agnimeele,First sukta of the Rigveda
1,2,,
1,3,,
1,4,,
1,5,,
1,6,,
1,7,,
1,8,,
1,9,,
1,10,,
1,11,,
1,12,,
1,13,,
1,14,,
1,15,,
1,16,,
1,17,,
1,18,,
1,19,,
1,20,,
1,21,,
1,22,,
1,23,,
1,24,,
1,25,,
1,26,,
1,27,,
1,28,,
1,29,,
1,30,,
1,31,,
1,32,,
1,33,,
1,34,,
1,35,,
1,36,,
1,37,,
1,38,,
1,39,,
1,40,,
1,41,,
1,42,,
1,43,,
1,44,,
1,45,,
1,46,,
1,47,,
1,48,,
1,49,,
1,50,,
1,51,,
1,52,,
1,53,,
1,54,,
1,55,,
1,56,,
1,57,,
1,58,,
1,59,,
1,60,,
1,61,,
1,62,,
1,63,,
1,64,,
1,65,,
1,66,,
1,67,,
1,68,,
1,69,,
1,70,,
1,71,,
1,72,,
1,73,,
1,74,,
1,75,,
1,76,,
1,77,,
1,78,,
1,79,,
1,80,,
1,81,,
1,82,,
1,83,,
1,84,,
1,85,,
1,86,,
1,87,,
1,88,,
1,89,,
1,90,,
1,91,,
1,92,,
1,93,,
1,94,,
1,95,,
1,96,,
1,97,,
1,98,,
1,99,,
1,100,,
1,101,,
1,102,,
1,103,,
1,104,,
1,105,,
1,106,,
1,107,,
1,108,,
1,109,,
1,110,,
1,111,,
1,112,,
1,113,,
1,114,,
1,115,,
1,116,,
1,117,,
1,118,,
1,119,,
1,120,,
1,121,,
1,122,,
1,123,,
1,124,,
1,125,,
1,126,,
1,127,,
1,128,,
1,129,,
1,130,,
1,131,,
1,132,,
1,133,,
1,134,,
1,135,,
1,136,,
1,137,,
1,138,,
1,139,,
1,140,,
1,141,,
1,142,,
1,143,,
1,144,,
1,145,,
1,146,,
1,147,,
1,148,,
1,149,,
1,150,,
1,151,,
1,152,,
1,153,,
1,154,,
1,155,,
1,156,,
1,157,,
1,158,,
1,159,,
1,160,,
1,161,,
1,162,,
1,163,,
1,164,Asyavamiya Suktam ,
1,165,,
1,166,,
1,167,,
1,168,,
1,169,,
1,170,,
1,171,,
1,172,,
1,173,,
1,174,,
1,175,,
1,176,,
1,177,,
1,178,,
1,179,,
1,180,,
1,181,,
1,182,,
1,183,,
1,184,,
1,185,,
1,186,,
1,187,,
1,188,,
1,189,,
1,190,,
1,191,,
2,1,,
2,2,,
2,3,,
2,4,,
2,5,,
2,6,,
2,7,,
2,8,,
2,9,,
2,10,,
2,11,,
2,12,,
2,13,,
2,14,,
2,15,,
2,16,,
2,17,,
2,18,,
2,19,,
2,20,,
2,21,,
2,22,,
2,23,,
2,24,,
2,25,,
2,26,,
2,27,,
2,28,,
2,29,,
2,30,,
2,31,,
2,32,,
2,33,,
2,34,,
2,35,,
2,36,,
2,37,,
2,38,,
2,39,,
2,40,,
2,41,,
2,42,,
2,43,,
9,1,Pavamana Suktam,Pavamana 1st adhyaya starts here.
9,2,Pavamana Suktam,
9,3,Pavamana Suktam,
9,4,Pavamana Suktam,
9,5,Pavamana Suktam,
9,6,Pavamana Suktam,
9,7,Pavamana Suktam,
9,8,Pavamana Suktam,
9,9,Pavamana Suktam,
9,10,Pavamana Suktam,
9,11,Pavamana Suktam,
9,12,Pavamana Suktam,
9,13,Pavamana Suktam,
9,14,Pavamana Suktam,
9,15,Pavamana Suktam,
9,16,Pavamana Suktam,
9,17,Pavamana Suktam,
9,18,Pavamana Suktam,
9,19,Pavamana Suktam,
9,20,Pavamana Suktam,
9,21,Pavamana Suktam,
9,22,Pavamana Suktam,
9,23,Pavamana Suktam,
9,24,Pavamana Suktam,
9,25,Pavamana Suktam,
9,26,Pavamana Suktam,
9,27,Pavamana Suktam,
9,28,Pavamana Suktam,Pavamana 2nd adhyaya starts here.
9,29,Pavamana Suktam,
9,30,Pavamana Suktam,
9,31,Pavamana Suktam,
9,32,Pavamana Suktam,
9,33,Pavamana Suktam,
9,34,Pavamana Suktam,
9,35,Pavamana Suktam,
9,36,Pavamana Suktam,
9,37,Pavamana Suktam,
9,38,Pavamana Suktam,
9,39,Pavamana Suktam,
9,40,Pavamana Suktam,
9,41,Pavamana Suktam,
9,42,Pavamana Suktam,
9,43,Pavamana Suktam,
9,44,Pavamana Suktam,
9,45,Pavamana Suktam,
9,46,Pavamana Suktam,
9,47,Pavamana Suktam,
9,48,Pavamana Suktam,
9,49,Pavamana Suktam,
9,50,Pavamana Suktam,
9,51,Pavamana Suktam,
9,52,Pavamana Suktam,
9,53,Pavamana Suktam,
9,54,Pavamana Suktam,
9,55,Pavamana Suktam,
9,56,Pavamana Suktam,
9,57,Pavamana Suktam,
9,58,Pavamana Suktam,
9,59,Pavamana Suktam,
9,60,Pavamana Suktam,
9,61,Pavamana Suktam,
9,62,Pavamana Suktam,
9,63,Pavamana Suktam,
9,64,Pavamana Suktam,
9,65,Pavamana Suktam,
9,66,Pavamana Suktam,
9,67,Pavamana Suktam,
10,1,,
10,2,,
10,3,,
10,4,,
10,5,,
10,6,,
10,7,,
10,8,,
10,9,,
10,10,,
10,11,,
10,12,,
10,13,,
10,14,,
10,15,,
10,16,,
10,17,,
10,18,,
10,19,,
10,20,,
10,21,,
10,22,,
10,23,,
10,24,,
10,25,,
10,26,,
10,27,,
10,28,,
10,29,,
10,30,,
10,31,,
10,32,,
10,33,,
10,34,,
10,35,,
10,36,,
10,37,,
10,38,,
10,39,,
10,40,,
10,41,,
10,42,,
10,43,,
10,44,,
10,45,,
10,46,,
10,47,,
10,48,,
10,49,,
10,50,,
10,51,,
10,52,,
10,53,,
10,54,,
10,55,,
10,56,,
10,57,,
10,58,,
10,59,,
10,60,,
10,61,,
10,62,,
10,63,,
10,64,,
10,65,,
10,66,,
10,67,,
10,68,,
10,69,,
10,70,,
10,71,,
10,72,,
10,73,,
10,74,,
10,75,,
10,76,,
10,77,,
10,78,,
10,79,,
10,80,,
10,81,,
10,82,,
10,83,,
10,84,,
10,85,,
10,86,,
10,87,,
10,88,,
10,89,,
10,90,Purusha Suktam,
10,91,,
10,92,,
10,93,,
10,94,,
10,95,,
10,96,,
10,97,,
10,98,,
10,99,,
10,100,,
10,101,,
10,102,,
10,103,,
10,104,,
10,105,,
10,106,,
10,107,,
10,108,,
10,109,,
10,110,,
10,111,,
10,112,,
10,113,,
10,114,Gharma Suktam,
10,115,,
10,116,,
10,117,,
10,118,,
10,119,Iti vA iti,
10,120,,
10,121,hiranyagharba,
10,122,,
10,123,,
10,124,,
10,125,Ambruni/Devi Suktam,
10,126,na tamam ho,
10,127,ratrI suktam,
10,128,,
10,129,,
10,130,,
10,131,,
10,132,,
10,133,,
10,134,,
10,135,,
10,136,,
10,137,,
10,138,,
10,139,,
10,140,,
10,141,,
10,142,,
10,143,,
10,144,,
10,145,,
10,146,,
10,147,,
10,148,,
10,149,,
10,150,,
10,151,,
10,152,,
10,153,,
10,154,,
10,155,,
10,156,,
10,157,,
10,158,,
10,159,,
10,160,,
10,161,,
10,162,,
10,163,,
10,164,,
10,165,,
10,166,,
10,167,,
10,168,,
10,169,,
10,170,,
10,171,,
10,172,,
10,173,,
10,174,,
10,175,,
10,176,,
10,177,,
10,178,,
10,179,,
10,180,,
10,181,,
10,182,brihaspatir nayatu,
10,183,apashyam tvA,
10,184,vishnoryonim,
10,185,mahi trInAm,
10,186,vAta A vAtu,
10,187,Pragnaye ,
10,188,Pra nUnam,
10,189,Ayan gauh,
10,190,Aghamarshana Suktam,
10,191,Aikyamatya Suktam,
